"rep(1, length(dats[, 1]))" "Sess" "Blk" "Trl" "SetSize" "Lag" "keyIdx" "CorrResp" "ACC" "RT" "use"
1 556 5 17 3 2 1 1 1 0.501 TRUE
1 556 5 18 2 3 0 0 1 0.463 TRUE
1 556 5 19 4 1 1 1 1 0.589 TRUE
1 556 5 20 5 2 0 1 0 0.732 TRUE
1 556 5 21 5 6 0 0 1 0.61 TRUE
1 556 5 22 4 2 1 1 1 0.564 TRUE
1 556 5 23 3 4 0 0 1 0.57 TRUE
1 556 5 24 4 5 0 0 1 0.494 TRUE
1 556 5 25 4 5 0 0 1 0.519 TRUE
1 556 5 26 2 2 1 1 1 0.458 TRUE
1 556 5 27 5 6 0 0 1 0.494 TRUE
1 556 5 28 4 5 0 0 1 0.484 TRUE
1 556 5 29 1 2 0 0 1 0.461 TRUE
1 556 5 30 2 3 0 0 1 0.417 TRUE
1 556 6 1 5 6 0 0 1 0.826 TRUE
1 556 6 2 3 2 1 1 1 0.767 TRUE
1 556 6 3 5 2 0 1 0 0.687 TRUE
1 556 6 4 2 1 1 1 1 0.63 TRUE
1 556 6 5 1 2 0 0 1 0.392 TRUE
1 556 6 6 4 3 1 1 1 0.497 TRUE
1 556 6 7 3 1 1 1 1 0.647 TRUE
1 556 6 8 4 4 1 1 1 0.546 TRUE
1 556 6 9 5 6 0 0 1 1.16 FALSE
1 556 6 10 5 1 1 1 1 0.585 TRUE
1 556 6 11 1 1 1 1 1 0.39 TRUE
1 556 6 12 4 5 0 0 1 0.522 TRUE
1 556 6 13 2 2 1 1 1 0.455 TRUE
1 556 6 14 5 6 0 0 1 0.755 TRUE
1 556 6 15 2 3 0 0 1 0.491 TRUE
1 556 6 16 4 5 0 0 1 0.558 TRUE
1 556 6 17 3 4 0 0 1 0.458 TRUE
1 556 6 18 2 3 0 0 1 0.498 TRUE
1 556 6 19 4 5 0 0 1 0.552 TRUE
1 556 6 20 3 3 1 1 1 0.456 TRUE
1 556 6 21 5 6 0 0 1 0.518 TRUE
1 556 6 22 5 6 0 0 1 0.465 TRUE
1 556 6 23 4 5 0 0 1 0.485 TRUE
1 556 6 24 3 4 0 0 1 0.542 TRUE
1 556 6 25 5 3 0 1 0 0.498 TRUE
1 556 6 26 5 5 1 1 1 0.446 TRUE
1 556 6 27 4 2 1 1 1 0.755 TRUE
1 556 6 28 4 1 1 1 1 0.524 TRUE
1 556 6 29 3 4 0 0 1 0.495 TRUE
1 556 6 30 5 4 1 1 1 0.511 TRUE
1 556 7 1 3 4 0 0 1 0.577 TRUE
1 556 7 2 4 3 1 1 1 0.571 TRUE
1 556 7 3 5 1 1 1 1 0.556 TRUE
1 556 7 4 3 3 1 1 1 0.474 TRUE
1 556 7 5 5 6 0 0 1 0.59 TRUE
1 556 7 6 3 4 0 0 1 0.504 TRUE
1 556 7 7 4 5 0 0 1 0.542 TRUE
1 556 7 8 5 6 0 0 1 0.505 TRUE
1 556 7 9 5 6 0 0 1 0.961 TRUE
1 556 7 10 5 3 1 1 1 1.078 FALSE
1 556 7 11 4 5 0 0 1 0.558 TRUE
1 556 7 12 1 1 1 1 1 0.4 TRUE
1 556 7 13 2 2 1 1 1 0.461 TRUE
1 556 7 14 1 2 0 0 1 0.376 TRUE
1 556 7 15 4 5 0 0 1 0.441 TRUE
1 556 7 16 2 1 1 1 1 0.614 TRUE
1 556 7 17 2 3 0 0 1 0.435 TRUE
1 556 7 18 5 6 0 0 1 0.51 TRUE
1 556 7 19 2 3 0 0 1 0.446 TRUE
1 556 7 20 4 4 1 1 1 0.428 TRUE
1 556 7 21 5 4 1 1 1 0.51 TRUE
1 556 7 22 3 4 0 0 1 0.499 TRUE
