"" "" "Blk" "Trl" "SetSize" "Lag" "keyIdx" "CorrResp" "ACC" "RT" "use"
4 301 8 46 4 5 0 0 1 0.397 1
4 301 8 47 3 4 0 0 1 0.422 1
4 301 8 48 2 2 1 1 1 0.429 1
4 301 8 49 4 5 0 0 1 0.461 1
4 301 8 50 3 4 1 0 0 0.467 1
4 301 9 1 3 1 1 1 1 0.487 1
4 301 9 2 2 3 0 0 1 0.379 1
4 301 9 3 3 1 0 1 0 0.373 1
4 301 9 4 2 1 1 1 1 0.477 1
4 301 9 5 1 2 0 0 1 0.437 1
4 301 9 6 4 4 1 1 1 0.605 1
4 301 9 7 3 3 1 1 1 0.502 1
4 301 9 8 2 3 0 0 1 0.427 1
4 301 9 9 5 6 0 0 1 0.514 1
4 301 9 10 3 3 1 1 1 0.436 1
4 301 9 11 1 1 1 1 1 0.419 1
4 301 9 12 1 2 0 0 1 0.451 1
4 301 9 13 3 4 0 0 1 0.388 1
4 301 9 14 2 1 1 1 1 0.572 1
4 301 9 15 1 2 0 0 1 0.403 1
4 301 9 16 5 6 0 0 1 0.516 1
4 301 9 17 1 2 0 0 1 0.454 1
4 301 9 18 4 5 0 0 1 0.556 1
4 301 9 19 2 2 1 1 1 0.54 1
4 301 9 20 4 5 0 0 1 0.476 1
4 301 9 21 3 1 1 1 1 0.5 1
4 301 9 22 5 6 0 0 1 0.677 1
4 301 9 23 3 4 0 0 1 0.435 1
4 301 9 24 1 1 1 1 1 0.386 1
4 301 9 25 3 4 0 0 1 0.454 1
4 301 9 26 1 1 1 1 1 0.388 1
4 301 9 27 3 4 0 0 1 0.436 1
4 301 9 28 4 5 0 0 1 0.509 1
4 301 9 29 1 1 1 1 1 0.387 1
4 301 9 30 2 3 0 0 1 0.38 1
4 301 9 31 3 4 0 0 1 0.419 1
4 301 9 32 4 5 0 0 1 0.429 1
4 301 9 33 5 4 1 1 1 0.372 1
4 301 9 34 2 1 1 1 1 0.459 1
4 301 9 35 5 4 1 1 1 0.517 1
4 301 9 36 5 6 0 0 1 0.422 1
4 301 9 37 2 3 0 0 1 0.41 1
4 301 9 38 5 1 1 1 1 0.452 1
4 301 9 39 2 1 1 1 1 0.41 1
4 301 9 40 4 3 1 1 1 0.428 1
4 301 9 41 5 5 1 1 1 0.369 1
4 301 9 42 5 3 1 1 1 0.42 1
4 301 9 43 4 5 0 0 1 0.426 1
4 301 9 44 4 1 1 1 1 0.508 1
4 301 9 45 4 2 1 1 1 0.426 1
4 301 9 46 2 3 0 0 1 0.412 1
4 301 9 47 4 2 1 1 1 0.525 1
4 301 9 48 5 6 0 0 1 0.407 1
4 301 9 49 1 2 0 0 1 0.483 1
4 301 9 50 1 1 1 1 1 0.387 1
4 302 1 1 3 2 1 1 1 0.626 1
4 302 1 2 3 1 1 1 1 0.517 1
4 302 1 3 5 3 1 1 1 0.505 1
4 302 1 4 3 4 0 0 1 0.412 1
4 302 1 5 2 3 0 0 1 0.564 1
4 302 1 6 2 1 1 1 1 0.462 1
4 302 1 7 3 4 0 0 1 0.425 1
4 302 1 8 1 2 0 0 1 0.388 1
4 302 1 9 3 3 1 1 1 0.471 1
4 302 1 10 2 3 0 0 1 0.379 1
4 302 1 11 1 1 1 1 1 0.402 1
4 302 1 12 2 2 1 1 1 0.411 1
4 302 1 13 1 1 1 1 1 0.384 1
4 302 1 14 5 6 0 0 1 0.475 1
4 302 1 15 4 5 0 0 1 0.397 1
4 302 1 16 1 2 0 0 1 0.404 1
4 302 1 17 5 3 0 1 0 0.513 1
4 302 1 18 5 6 0 0 1 0.518 1
4 302 1 19 1 1 1 1 1 0.388 1
4 302 1 20 4 4 1 1 1 0.41 1
4 302 1 21 5 6 0 0 1 0.495 1
4 302 1 22 4 5 0 0 1 0.426 1
4 302 1 23 3 2 1 1 1 0.373 1
4 302 1 24 3 4 0 0 1 0.404 1
4 302 1 25 1 2 0 0 1 0.4 1
4 302 1 26 2 3 0 0 1 0.428 1
4 302 1 27 2 1 0 1 0 0.396 1
4 302 1 28 2 1 1 1 1 0.54 1
4 302 1 29 4 4 1 1 1 0.444 1
4 302 1 30 3 3 1 1 1 0.419 1
4 302 1 31 2 3 0 0 1 0.461 1
4 302 1 32 5 6 0 0 1 0.61 1
4 302 1 33 5 1 1 1 1 0.438 1
4 302 1 34 3 4 0 0 1 0.677 1
4 302 1 35 5 6 0 0 1 0.452 1
4 302 1 36 2 2 1 1 1 0.381 1
4 302 1 37 1 1 1 1 1 0.373 1
4 302 1 38 5 2 1 1 1 0.549 1
4 302 1 39 1 1 1 1 1 0.373 1
4 302 1 40 4 5 0 0 1 0.604 1
4 302 1 41 2 3 0 0 1 0.493 1
4 302 1 42 4 3 1 1 1 0.541 1
4 302 1 43 4 5 0 0 1 0.413 1
4 302 1 44 1 2 0 0 1 0.467 1
4 302 1 45 4 5 0 0 1 0.491 1
4 302 1 46 3 4 0 0 1 0.437 1
4 302 1 47 4 4 1 1 1 0.491 1
4 302 1 48 4 2 1 1 1 0.49 1
4 302 1 49 5 2 1 1 1 0.514 1
4 302 1 50 1 2 0 0 1 0.451 1
4 302 2 1 3 3 1 1 1 0.372 1
4 302 2 2 2 2 1 1 1 0.395 1
4 302 2 3 1 2 0 0 1 0.403 1
4 302 2 4 2 1 1 1 1 0.459 1
4 302 2 5 2 3 0 0 1 0.476 1
4 302 2 6 4 5 0 0 1 0.444 1
4 302 2 7 2 3 0 0 1 0.476 1
4 302 2 8 3 4 0 0 1 0.418 1
4 302 2 9 4 5 0 0 1 0.492 1
4 302 2 10 3 4 0 0 1 0.419 1
4 302 2 11 5 2 1 1 1 0.501 1
4 302 2 12 4 3 1 1 1 0.379 1
4 302 2 13 5 1 1 1 1 0.483 1
4 302 2 14 3 1 1 1 1 0.5 1
4 302 2 15 2 3 0 0 1 0.412 1
4 302 2 16 4 5 0 0 1 0.505 1
4 302 2 17 1 1 1 1 1 0.901 0
4 302 2 18 2 3 0 0 1 0.429 1
4 302 2 19 1 2 0 0 1 0.403 1
4 302 2 20 1 1 1 1 1 0.389 1
4 302 2 21 5 1 1 1 1 0.484 1
4 302 2 22 4 5 0 0 1 0.41 1
4 302 2 23 5 1 1 1 1 0.42 1
4 302 2 24 2 2 1 1 1 0.413 1
4 302 2 25 5 6 0 0 1 0.514 1
4 302 2 26 2 3 0 0 1 0.49 1
4 302 2 27 3 4 0 0 1 0.467 1
4 302 2 28 5 6 0 0 1 0.39 1
4 302 2 29 1 2 0 0 1 0.419 1
4 302 2 30 4 4 1 1 1 0.447 1
4 302 2 31 2 2 1 1 1 0.395 1
4 302 2 32 4 4 1 1 1 0.461 1
4 302 2 33 5 6 0 0 1 0.738 1
4 302 2 34 4 1 1 1 1 0.397 1
4 302 2 35 3 2 1 1 1 0.437 1
4 302 2 36 3 2 1 1 1 0.436 1
4 302 2 37 2 1 1 1 1 0.413 1
4 302 2 38 5 6 0 0 1 0.514 1
4 302 2 39 1 1 1 1 1 0.373 1
4 302 2 40 5 6 1 0 0 0.516 1
4 302 2 41 1 2 0 0 1 0.483 1
4 302 2 42 1 1 1 1 1 0.419 1
4 302 2 43 1 2 0 0 1 0.483 1
4 302 2 44 3 2 1 1 1 0.468 1
4 302 2 45 3 4 0 0 1 0.516 1
4 302 2 46 4 1 1 1 1 0.471 1
4 302 2 47 4 5 0 0 1 0.428 1
4 302 2 48 5 4 1 1 1 0.485 1
4 302 2 49 3 4 0 0 1 0.389 1
4 302 2 50 1 1 1 1 1 0.402 1
4 302 3 1 1 2 0 0 1 0.419 1
4 302 3 2 1 1 1 1 1 0.402 1
4 302 3 3 1 1 1 1 1 0.419 1
4 302 3 4 2 2 1 1 1 0.444 1
4 302 3 5 1 2 0 0 1 0.419 1
4 302 3 6 1 1 1 1 1 0.39 1
4 302 3 7 2 2 1 1 1 0.346 1
4 302 3 8 2 3 0 0 1 0.429 1
4 302 3 9 2 3 0 0 1 0.428 1
4 302 3 10 4 3 1 1 1 0.43 1
4 302 3 11 1 1 1 1 1 0.354 1
4 302 3 12 5 6 0 0 1 0.435 1
4 302 3 13 5 1 1 1 1 0.404 1
4 302 3 14 3 3 1 1 1 0.453 1
4 302 3 15 3 4 0 0 1 0.419 1
4 302 3 16 3 2 1 1 1 0.755 1
4 302 3 17 4 5 0 0 1 0.526 1
4 302 3 18 4 5 0 0 1 0.395 1
4 302 3 19 2 1 0 1 0 0.412 1
4 302 3 20 4 4 1 1 1 0.413 1
