subj_idx,CSI,size,probe,rt,correct,stim,response
4,400,2,neg,1.6271,0,1,1
13,2000,8,int,1.6271,1,1,0
20,400,6,int,1.6272,0,1,1
19,No,2,pos,1.6275,1,2,1
10,No,4,pos,1.6275,1,2,1
10,400,6,int,1.6275,1,1,0
16,400,2,int,1.6275,1,1,0
3,400,6,neg,1.6276,1,1,0
23,No,2,pos,1.6276,0,2,0
15,No,4,pos,1.6278,1,2,1
23,No,4,int,1.6278,1,1,0
2,No,2,pos,1.6279,1,2,1
4,No,2,pos,1.6279,1,2,1
2,400,4,int,1.6281,1,1,0
8,No,4,int,1.6285,1,1,0
16,No,6,pos,1.6293,0,2,0
1,400,2,pos,1.6297,1,2,1
12,100,8,pos,1.6311,1,2,1
5,100,4,int,1.6313,0,1,1
8,100,8,int,1.6317,1,1,0
15,100,8,neg,1.6318,1,1,0
13,100,4,int,1.6321,1,1,0
23,100,4,neg,1.6321,0,1,1
2,100,8,int,1.6324,1,1,0
18,No,2,int,1.6327,1,1,0
4,2000,6,neg,1.6332,0,1,1
2,400,4,int,1.6334,1,1,0
12,2000,6,pos,1.6339,0,2,0
1,100,6,int,1.6347,1,1,0
4,2000,6,pos,1.6348,0,2,0
23,No,8,int,1.6348,1,1,0
10,400,4,int,1.635,1,1,0
3,No,8,pos,1.6351,1,2,1
11,2000,6,int,1.6351,1,1,0
2,No,8,neg,1.6353,1,1,0
2,No,6,pos,1.6354,1,2,1
21,No,2,pos,1.6354,1,2,1
17,No,8,pos,1.6355,1,2,1
17,No,2,pos,1.6357,1,2,1
3,2000,6,neg,1.6359,1,1,0
4,2000,2,pos,1.6359,1,2,1
10,2000,2,pos,1.6359,1,2,1
9,No,6,pos,1.6359,1,2,1
12,No,4,int,1.6361,1,1,0
23,400,6,int,1.6361,1,1,0
17,2000,4,pos,1.6361,1,2,1
2,No,2,pos,1.6362,1,2,1
15,2000,4,int,1.6363,1,1,0
15,2000,8,pos,1.6365,0,2,0
3,2000,2,pos,1.637,1,2,1
9,100,6,int,1.6376,1,1,0
12,100,4,int,1.6391,1,1,0
24,100,4,pos,1.6394,1,2,1
4,100,8,neg,1.6394,1,1,0
21,100,4,int,1.6404,1,1,0
16,100,8,pos,1.6404,1,2,1
3,100,4,pos,1.6406,1,2,1
2,No,2,neg,1.6408,1,1,0
2,No,4,int,1.6411,1,1,0
17,No,6,int,1.6411,1,1,0
20,2000,2,pos,1.6412,1,2,1
9,400,8,neg,1.6417,1,1,0
8,No,2,int,1.6432,1,1,0
4,No,8,pos,1.6437,0,2,0
13,No,8,int,1.6437,1,1,0
18,No,4,int,1.6438,1,1,0
18,2000,8,int,1.6438,1,1,0
2,400,6,pos,1.644,1,2,1
8,400,4,int,1.644,1,1,0
10,400,4,neg,1.644,0,1,1
17,400,6,int,1.6441,1,1,0
10,2000,8,int,1.6443,1,1,0
23,400,8,pos,1.6443,0,2,0
10,2000,6,int,1.6445,1,1,0
23,400,4,int,1.6446,1,1,0
20,400,8,pos,1.6447,1,2,1
9,100,4,int,1.6468,1,1,0
15,100,4,pos,1.6476,1,2,1
20,100,4,int,1.6481,1,1,0
10,100,4,pos,1.6483,1,2,1
17,100,4,pos,1.6486,1,2,1
20,400,6,pos,1.6496,1,2,1
4,2000,8,pos,1.6497,1,2,1
16,No,8,int,1.6505,1,1,0
2,400,2,pos,1.6514,1,2,1
4,No,8,neg,1.6516,1,1,0
19,No,6,pos,1.6517,1,2,1
24,No,6,int,1.6517,1,1,0
2,400,6,pos,1.6518,1,2,1
6,No,4,int,1.6518,0,1,1
2,No,6,int,1.652,1,1,0
2,2000,8,int,1.652,1,1,0
20,2000,2,pos,1.652,1,2,1
6,No,4,pos,1.652,1,2,1
15,400,8,neg,1.6521,1,1,0
20,400,8,pos,1.6522,0,2,0
18,400,6,int,1.6522,1,1,0
20,400,4,pos,1.6523,1,2,1
18,No,8,pos,1.6523,0,2,0
20,2000,2,pos,1.6524,1,2,1
9,2000,4,int,1.6524,0,1,1
19,400,2,pos,1.6525,1,2,1
20,400,8,pos,1.6525,1,2,1
15,400,2,int,1.6526,1,1,0
12,400,8,pos,1.6526,1,2,1
24,400,8,int,1.6527,0,1,1
2,100,8,int,1.6538,1,1,0
17,100,6,pos,1.654,1,2,1
4,100,6,pos,1.6547,0,2,0
21,100,8,pos,1.6551,0,2,0
4,100,2,pos,1.6551,1,2,1
19,100,8,pos,1.6554,1,2,1
10,100,8,pos,1.6559,0,2,0
24,100,8,neg,1.6563,1,1,0
9,100,4,int,1.6564,1,1,0
16,100,4,neg,1.6564,1,1,0
2,100,6,int,1.6565,1,1,0
4,No,8,int,1.6572,0,1,1
20,No,4,pos,1.6586,1,2,1
9,400,6,pos,1.6587,0,2,0
9,No,6,pos,1.6589,1,2,1
23,100,6,int,1.659,0,1,1
3,No,2,neg,1.6591,1,1,0
17,2000,6,int,1.6592,0,1,1
21,No,8,pos,1.6593,1,2,1
15,No,8,pos,1.6594,1,2,1
14,No,4,pos,1.6594,1,2,1
2,No,2,neg,1.6596,1,1,0
