id,group,sex,age,session,memo,con,nblock,n,example,trial,outnr,trialnr,out_allnr,matchkey,pressedkey,corr,mem_dig,prb_dig,out_pos,Pre_RT,RT,pos,neg,RT_r,RTr_mean,sd_RTr,cut,Exp
1,1,2,22,1,1,4,3,5,0,4,5,12,20,2,2,1,7,6,2, ,624,1,0,624,954.033333333333,652.432517497128,2911.33088582472,4
1,1,2,22,1,1,1,3,5,0,5,1,12,21,2,2,1,8,8,1,755,759,1,0,759,757.6,408.877053579459,1984.23116073838,4
1,1,2,22,1,1,1,3,5,0,5,2,12,22,2,2,1,6,6,2, ,1139,1,0,1139,757.6,408.877053579459,1984.23116073838,4
1,1,2,22,1,1,1,3,5,0,5,3,12,23,2,2,1,5,5,3, ,558,1,0,558,757.6,408.877053579459,1984.23116073838,4
1,1,2,22,1,1,1,3,5,0,5,4,12,24,2,1,1,7,2,4, ,587,0,2,587,1064.38888888889,815.009322266177,3509.41685568742,4
1,1,2,22,1,1,1,3,5,0,5,5,12,25,2,2,1,9,9,5, ,514,1,0,514,757.6,408.877053579459,1984.23116073838,4
1,1,2,22,1,1,3,3,5,0,6,1,12,26,2,2,1,1,2,5,328,714,1,0,714,885.122222222222,494.309888423,2368.05188749122,4
1,1,2,22,1,1,3,3,5,0,6,2,12,27,2,2,1,4,3,4, ,1965,1,0,1965,885.122222222222,494.309888423,2368.05188749122,4
1,1,2,22,1,1,3,3,5,0,6,3,12,28,2,2,1,6,6,3, ,481,1,0,481,885.122222222222,494.309888423,2368.05188749122,4
1,1,2,22,1,1,3,3,5,0,6,4,12,29,2,1,1,3,1,2, ,613,0,1,613,1364.65517241379,1236.10779641683,5072.97856166428,4
1,1,2,22,1,1,3,3,5,0,6,5,12,30,2,2,1,2,1,1, ,792,1,0,792,885.122222222222,494.309888423,2368.05188749122,4
1,1,2,22,1,1,4,3,5,0,7,1,12,31,2,1,1,6,5,1,300,790,0,1,790,1230,714.76920941467,3374.30762824401,4
1,1,2,22,1,1,4,3,5,0,7,2,12,32,2,2,1,5,9,4, ,946,1,0,946,954.033333333333,652.432517497128,2911.33088582472,4
1,1,2,22,1,1,4,3,5,0,7,3,12,33,2,1,1,1,6,3, ,2438,0,1,2438,1230,714.76920941467,3374.30762824401,4
1,1,2,22,1,1,4,3,5,0,7,4,12,34,2,1,1,9,5,5, ,864,0,1,864,1230,714.76920941467,3374.30762824401,4
1,1,2,22,1,1,4,3,5,0,7,5,12,35,2,1,1,3,8,2, ,933,0,2,933,1230,714.76920941467,3374.30762824401,4
1,1,2,22,1,1,1,3,5,0,8,1,12,36,2,1,1,9,3,1,313,778,0,1,778,1064.38888888889,815.009322266177,3509.41685568742,4
1,1,2,22,1,1,1,3,5,0,8,2,12,37,2,1,1,4,1,2, ,682,0,1,682,1064.38888888889,815.009322266177,3509.41685568742,4
1,1,2,22,1,1,1,3,5,0,8,3,12,38,2,1,1,2,9,3, ,918,0,1,918,1064.38888888889,815.009322266177,3509.41685568742,4
1,1,2,22,1,1,1,3,5,0,8,4,12,39,2,2,1,1,1,4, ,1870,1,0,1870,757.6,408.877053579459,1984.23116073838,4
1,1,2,22,1,1,1,3,5,0,8,5,12,40,2,1,1,3,5,5, ,597,0,2,597,1064.38888888889,815.009322266177,3509.41685568742,4
1,1,2,22,1,1,3,3,5,0,9,1,12,41,2,1,1,4,1,5,331,1325,0,2,1325,1364.65517241379,1236.10779641683,5072.97856166428,4
1,1,2,22,1,1,3,3,5,0,9,2,12,42,2,1,1,9,1,4, ,1542,0,2,1542,1364.65517241379,1236.10779641683,5072.97856166428,4
1,1,2,22,1,1,3,3,5,0,9,3,12,43,2,1,1,7,5,3, ,1461,0,2,1461,1364.65517241379,1236.10779641683,5072.97856166428,4
1,1,2,22,1,1,3,3,5,0,9,4,12,44,2,2,1,8,9,2, ,605,1,0,605,885.122222222222,494.309888423,2368.05188749122,4
1,1,2,22,1,1,3,3,5,0,9,5,12,45,2,2,1,3,4,1, ,534,1,0,534,885.122222222222,494.309888423,2368.05188749122,4
1,1,2,22,1,1,1,3,5,0,10,1,12,46,2,2,1,7,7,1,451,1247,1,0,1247,757.6,408.877053579459,1984.23116073838,4
1,1,2,22,1,1,1,3,5,0,10,2,12,47,2,2,1,2,2,2, ,917,1,0,917,757.6,408.877053579459,1984.23116073838,4
1,1,2,22,1,1,1,3,5,0,10,3,12,48,2,2,1,3,3,3, ,419,1,0,419,757.6,408.877053579459,1984.23116073838,4
1,1,2,22,1,1,1,3,5,0,10,4,12,49,2,2,1,4,4,4, ,416,1,0,416,757.6,408.877053579459,1984.23116073838,4
1,1,2,22,1,1,1,3,5,0,10,5,12,50,2,1,1,9,7,5, ,930,0,1,930,1064.38888888889,815.009322266177,3509.41685568742,4
1,1,2,22,1,1,4,3,5,0,11,1,12,51,2,1,1,9,7,2,595,1147,0,2,1147,1230,714.76920941467,3374.30762824401,4
1,1,2,22,1,1,4,3,5,0,11,2,12,52,2,2,1,8,3,3, ,1338,1,0,1338,954.033333333333,652.432517497128,2911.33088582472,4
1,1,2,22,1,1,4,3,5,0,11,3,12,53,2,2,1,3,1,4, ,478,1,0,478,954.033333333333,652.432517497128,2911.33088582472,4
1,1,2,22,1,1,4,3,5,0,11,4,12,54,2,2,1,1,4,5, ,422,1,0,422,954.033333333333,652.432517497128,2911.33088582472,4
1,1,2,22,1,1,4,3,5,0,11,5,12,55,2,1,1,4,5,1, ,619,0,2,619,1230,714.76920941467,3374.30762824401,4
1,1,2,22,1,1,3,3,5,0,12,1,12,56,2,1,1,1,6,5,710,1707,0,1,1707,1364.65517241379,1236.10779641683,5072.97856166428,4
1,1,2,22,1,1,3,3,5,0,12,2,12,57,2,1,1,8,5,4, ,2065,0,1,2065,1364.65517241379,1236.10779641683,5072.97856166428,4
1,1,2,22,1,1,3,3,5,0,12,3,12,58,2,2,1,5,5,3, ,668,1,0,668,885.122222222222,494.309888423,2368.05188749122,4
1,1,2,22,1,1,3,3,5,0,12,4,12,59,2,1,1,6,2,2, ,1099,0,1,1099,1364.65517241379,1236.10779641683,5072.97856166428,4
1,1,2,22,1,1,3,3,5,0,12,5,12,60,2,1,1,2,3,1, ,1434,0,2,1434,1364.65517241379,1236.10779641683,5072.97856166428,4
